geohash,count_buildings,distance_park,geometry
dr5nqqsgce74wrhuct7n,25,1050.0,"POLYGON((-74.2450000000001 40.5049999999999, -74.2450000000001 40.5149999999999, -74.2550000000001 40.5149999999999, -74.2550000000001 40.5049999999999, -74.2450000000001 40.5049999999999))"
dr5x2jtfjmdknp1tku13,5,990.0,"POLYGON((-73.815 40.6750000000001, -73.815 40.6850000000001, -73.825 40.6850000000001, -73.825 40.6750000000001, -73.815 40.6750000000001))"
dr5xfbmr9w2yjt69k1wk,32,990.0,"POLYGON((-73.6949999999999 40.735, -73.6949999999999 40.745, -73.7049999999998 40.745, -73.7049999999998 40.735, -73.6949999999999 40.735))"
dr5nqws5fe7dxxnhyvkq,3,1080.0,"POLYGON((-74.2349999999999 40.5049999999999, -74.2349999999999 40.5149999999999, -74.2449999999999 40.5149999999999, -74.2449999999999 40.5049999999999, -74.2349999999999 40.5049999999999))"
dr5x2jtfjmdknp1tku13,18,960.0,"POLYGON((-73.815 40.6750000000001, -73.815 40.6850000000001, -73.825 40.6850000000001, -73.825 40.6750000000001, -73.815 40.6750000000001))"
dr72wpkqh0txdmkcv0pw,2,1050.0,"POLYGON((-73.9050000000001 40.905, -73.9050000000001 40.915, -73.9150000000001 40.915, -73.9150000000001 40.905, -73.9050000000001 40.905))"
dr72n9dfypneucp9zucz,5,1470.0,"POLYGON((-73.885 40.785, -73.885 40.795, -73.895 40.795, -73.895 40.785, -73.885 40.785))"
dr5nzx10nstcsu7fu1bs,1,1560.0,"POLYGON((-74.195 40.595, -74.195 40.605, -74.2049999999999 40.605, -74.2049999999999 40.595, -74.195 40.595))"
dr5ppbzf2swvzqwwns4s,1,1410.0,"POLYGON((-74.1750000000001 40.6049999999999, -74.1750000000001 40.6149999999999, -74.1850000000001 40.6149999999999, -74.1850000000001 40.6049999999999, -74.1750000000001 40.6049999999999))"
dr5xfbmr9w2yjt69k1wk,20,1020.0,"POLYGON((-73.6949999999999 40.735, -73.6949999999999 40.745, -73.7049999999998 40.745, -73.7049999999998 40.735, -73.6949999999999 40.735))"
dr5rtuv55njj90e6xvne,5,1050.0,"POLYGON((-73.915 40.715, -73.915 40.725, -73.925 40.725, -73.925 40.715, -73.915 40.715))"
dr5x32476mjpk80erjnx,1,1110.0,"POLYGON((-73.7650000000002 40.645, -73.7650000000002 40.6550000000001, -73.7750000000001 40.6550000000001, -73.7750000000001 40.645, -73.7650000000002 40.645))"
dr5rztbn6qbg4hm7kbqn,13,930.0,"POLYGON((-73.845 40.765, -73.845 40.775, -73.855 40.775, -73.855 40.765, -73.845 40.765))"
dr5nzzpb0swcxkqdy9fs,1,990.0,"POLYGON((-74.1750000000001 40.595, -74.1750000000001 40.605, -74.1850000000001 40.605, -74.1850000000001 40.595, -74.1750000000001 40.595))"
dr5nwtuhfegsp8w4nys3,3,1200.0,"POLYGON((-74.2349999999999 40.545, -74.2349999999999 40.555, -74.2449999999999 40.555, -74.2449999999999 40.545, -74.2349999999999 40.545))"
dr5nwsh4deexxwnnyuk2,1,960.0,"POLYGON((-74.2349999999999 40.535, -74.2349999999999 40.545, -74.2449999999999 40.545, -74.2449999999999 40.535, -74.2349999999999 40.535))"
dr5qcph0ju99tumfc1bh,90,960.0,"POLYGON((-74.125 40.595, -74.125 40.605, -74.135 40.605, -74.135 40.595, -74.125 40.595))"
dr72pxp3er92g2ngf5z1,18,900.0,"POLYGON((-73.8350000000001 40.815, -73.8350000000001 40.825, -73.8450000000001 40.825, -73.8450000000001 40.815, -73.8350000000001 40.815))"
dr5rtytj7nm1c4gmzzqe,6,1080.0,"POLYGON((-73.915 40.7249999999999, -73.915 40.7349999999999, -73.925 40.7349999999999, -73.925 40.7249999999999, -73.915 40.7249999999999))"
dr5rrvwdhm9uhz0jrs03,7,960.0,"POLYGON((-73.8249999999999 40.6750000000001, -73.8249999999999 40.6850000000001, -73.8349999999999 40.6850000000001, -73.8349999999999 40.6750000000001, -73.8249999999999 40.6750000000001))"
dr5ppbb6rswmyntq1k1s,1,1590.0,"POLYGON((-74.185 40.6049999999999, -74.185 40.6149999999999, -74.195 40.6149999999999, -74.195 40.6049999999999, -74.185 40.6049999999999))"
dr5ppfxu8syfr3n9qw6t,2,1110.0,"POLYGON((-74.1750000000001 40.615, -74.1750000000001 40.625, -74.1850000000001 40.625, -74.1850000000001 40.615, -74.1750000000001 40.615))"
dr5x1n711mhdgjz21fvw,1,1530.0,"POLYGON((-73.7750000000001 40.635, -73.7750000000001 40.645, -73.7850000000001 40.645, -73.7850000000001 40.635, -73.7750000000001 40.635))"
dr5nzgrg8sqbzrwsnt6e,1,990.0,"POLYGON((-74.1750000000001 40.5750000000001, -74.1750000000001 40.5850000000001, -74.1850000000001 40.5850000000001, -74.1850000000001 40.5750000000001, -74.1750000000001 40.5750000000001))"
dr5x0y7c0mh4cvvbhduw,1,2460.0,"POLYGON((-73.785 40.635, -73.785 40.645, -73.795 40.645, -73.795 40.635, -73.785 40.635))"
dr5nze35wsmbuzeuhj2e,3,1560.0,"POLYGON((-74.195 40.5750000000001, -74.195 40.5850000000001, -74.2049999999999 40.5850000000001, -74.2049999999999 40.5750000000001, -74.195 40.5750000000001))"
dr5x30553mhx70p73vjx,1,1230.0,"POLYGON((-73.7750000000001 40.645, -73.7750000000001 40.6550000000001, -73.7850000000001 40.6550000000001, -73.7850000000001 40.645, -73.7750000000001 40.645))"
dr5nxk1ftetrew4qysr2,13,900.0,"POLYGON((-74.2050000000002 40.535, -74.2050000000002 40.545, -74.2150000000001 40.545, -74.2150000000001 40.535, -74.2050000000002 40.535))"
dr5qz9816k0udjm2ugn4,14,990.0,"POLYGON((-73.845 40.565, -73.845 40.575, -73.855 40.575, -73.855 40.565, -73.845 40.565))"
dr5rtytj7nm1c4gmzzqe,3,960.0,"POLYGON((-73.915 40.7249999999999, -73.915 40.7349999999999, -73.925 40.7349999999999, -73.925 40.7249999999999, -73.915 40.7249999999999))"
dr5nwsh4deexxwnnyuk2,1,1230.0,"POLYGON((-74.2349999999999 40.535, -74.2349999999999 40.545, -74.2449999999999 40.545, -74.2449999999999 40.535, -74.2349999999999 40.535))"
