geohash,count_buildings,distance_park,geometry
xn76htc7t01vcm742q01,2,1290.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76kc88n06qddh3jd96,2,1530.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76tdtg61hkpvf1dtvt,1,1530.0,"POLYGON((139.825 35.605, 139.825 35.615, 139.815 35.615, 139.815 35.605, 139.825 35.605))"
xn76sbzcp0fzggmy6gdm,1,1230.0,"POLYGON((139.795 35.595, 139.795 35.6050000000001, 139.785 35.6050000000001, 139.785 35.595, 139.795 35.595))"
xn769k7mwc60x0pjn21n,3,630.0,"POLYGON((139.635 35.615, 139.635 35.625, 139.625 35.625, 139.625 35.615, 139.635 35.615))"
xn76twjzf1kkzfd06dmw,4,900.0,"POLYGON((139.825 35.6249999999999, 139.825 35.6349999999999, 139.815 35.6349999999999, 139.815 35.6249999999999, 139.825 35.6249999999999))"
xn76t2y910gzye2wm7sm,3,1710.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76tyjpg1mhc4e2rfqw,3,750.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76kwcqv0cg9355032h,1,840.0,"POLYGON((139.775 35.585, 139.775 35.595, 139.765 35.595, 139.765 35.585, 139.775 35.585))"
xn76kyzyz0fgecjg4c6k,1,1350.0,"POLYGON((139.795 35.585, 139.795 35.595, 139.785 35.595, 139.785 35.585, 139.795 35.585))"
xn76kc88n06qddh3jd96,1,1770.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76mqywc0ggw90ej3kk,1,1740.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76tyjpg1mhc4e2rfqw,15,630.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn769w4xzc6ubd887d6n,1,630.0,"POLYGON((139.645 35.6249999999999, 139.645 35.6349999999999, 139.635 35.6349999999999, 139.635 35.6249999999999, 139.645 35.6249999999999))"
xn76mqywc0ggw90ej3kk,2,1800.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn775ntsnfwe9xdw0wcs,7,570.0,"POLYGON((139.715 35.715, 139.715 35.725, 139.705 35.725, 139.705 35.715, 139.715 35.715))"
xn766cw2jbqn8611568d,23,570.0,"POLYGON((139.705 35.5549999999999, 139.705 35.5649999999999, 139.695 35.5649999999999, 139.695 35.5549999999999, 139.705 35.5549999999999))"
xn76kc88n06qddh3jd96,1,1320.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76tyjpg1mhc4e2rfqw,1,810.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76vgtne1v1c1e6rcq8,2,600.0,"POLYGON((139.835 35.655, 139.835 35.665, 139.825 35.665, 139.825 35.655, 139.835 35.655))"
xn77muj4g5j09ng2pvwt,8,570.0,"POLYGON((139.835 35.7449999999999, 139.835 35.7549999999999, 139.825 35.7549999999999, 139.825 35.7449999999999, 139.835 35.7449999999999))"
xn76kc88n06qddh3jd96,2,1680.0,"POLYGON((139.785 35.5549999999999, 139.785 35.5649999999999, 139.775 35.5649999999999, 139.775 35.5549999999999, 139.785 35.5549999999999))"
xn76t0z300grv5rq25em,5,990.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn7675mdqbwdcs6s2sce,9,570.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
xn76tyjpg1mhc4e2rfqw,10,720.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76t2y910gzye2wm7sm,2,1890.0,"POLYGON((139.815 35.595, 139.815 35.6050000000001, 139.805 35.6050000000001, 139.805 35.595, 139.815 35.595))"
xn76v8jf41s3puf5dstx,8,600.0,"POLYGON((139.825 35.635, 139.825 35.645, 139.815 35.645, 139.815 35.635, 139.825 35.635))"
xn76v8jf41s3puf5dstx,4,690.0,"POLYGON((139.825 35.635, 139.825 35.645, 139.815 35.645, 139.815 35.635, 139.825 35.635))"
xn76mqywc0ggw90ej3kk,2,1950.0,"POLYGON((139.815 35.585, 139.815 35.595, 139.805 35.595, 139.805 35.585, 139.815 35.585))"
xn76tyjpg1mhc4e2rfqw,6,960.0,"POLYGON((139.835 35.6249999999999, 139.835 35.6349999999999, 139.825 35.6349999999999, 139.825 35.6249999999999, 139.835 35.6249999999999))"
xn76t0z300grv5rq25em,1,780.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn76htc7t01vcm742q01,1,1560.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76t0z300grv5rq25em,4,1170.0,"POLYGON((139.805 35.595, 139.805 35.6050000000001, 139.795 35.6050000000001, 139.795 35.595, 139.805 35.595))"
xn777zex6521m7qyb6hz,2,570.0,"POLYGON((139.745 35.765, 139.745 35.7750000000001, 139.735 35.7750000000001, 139.735 35.765, 139.745 35.765))"
xn76htc7t01vcm742q01,1,1440.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76htc7t01vcm742q01,1,1710.0,"POLYGON((139.775 35.535, 139.775 35.545, 139.765 35.545, 139.765 35.535, 139.775 35.535))"
xn76hz8ty0664xsmv836,2,1290.0,"POLYGON((139.785 35.545, 139.785 35.555, 139.775 35.555, 139.775 35.545, 139.785 35.545))"
xn766gq6mbw4bk3h7kbe,70,600.0,"POLYGON((139.705 35.565, 139.705 35.575, 139.695 35.575, 139.695 35.565, 139.705 35.565))"
xn7675mdqbwdcs6s2sce,9,630.0,"POLYGON((139.715 35.565, 139.715 35.575, 139.705 35.575, 139.705 35.565, 139.715 35.565))"
